"STATION","NAME","DATE","AWND","DAEV","DAPR","DASF","EVAP","MDEV","MDPR","MDSF","MNPN","MXPN","PRCP","SN32","SN52","SNOW","SNWD","SX32","SX52","TAVG","TMAX","TMIN","TSUN","WDMV","WESD","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2001-01-01",,,,,,,,,,,"0.00",,,"0.0","16.0",,,,"26","13",,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2001-01-02",,,,,,,,,,,"0.00",,,"0.0","15.0",,,,"21","7",,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2001-01-03",,,,,,,,,,,"0.00",,,"0.0","15.0",,,,"28","7",,,,"    1",,,,,"    1",,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2001-01-04",,,,,,,,,,,"0.00",,,"0.0","14.0",,,,"32","23",,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2001-01-05",,,,,,,,,,,"0.00",,,"0.0","12.0",,,,"37","24",,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2001-01-06",,,,,,,,,,,"0.00",,,"0.0","12.0",,,,"36","20",,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2001-01-07",,,,,,,,,,,"0.00",,,"0.0","12.0",,,,"35","23",,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2001-01-08",,,,,,,,,,,"0.00",,,"0.0","11.0",,,,"29","17",,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2001-01-09",,,,,,,,,,,"0.00",,,"0.0","11.0",,,,"25","12",,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2001-01-10",,,,,,,,,,,"0.00",,,"0.0","11.0",,,,"35","20",,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2001-01-11",,,,,,,,,,,"0.00",,,"0.0","11.0",,,,"40","24",,,,"    1",,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2001-01-12",,,,,,,,,,,"0.00",,,"0.0","9.0",,,,"37","28",,,,"    1",,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2001-01-13",,,,,,,,,,,"0.00",,,"0.0","8.0",,,,"38","34",,,,"    1",,,,,,,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2001-01-14",,,,,,,,,,,"0.25",,,"0.0","6.0",,,,"38","33",,,,"    1",,,,,,,,,,,,,,,,,,,
