"STATION","DATE","AWND","DAPR","DASF","EVAP","FMTM","MDPR","MDSF","MNPN","MXPN","PGTM","PRCP","SN32","SN52","SNOW","SNWD","SX32","SX52","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WDMV","WESD","WESF","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USC00111550","2005-06-01",,,,,,,,,,,,,,,,,,,"68","55","61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-02",,,,,,,,,,,,,,,,,,,"64","55","58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-03",,,,,,,,,,,,,,,,,,,"75","56","59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-04",,,,,,,,,,,,,,,,,,,"75","58","74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-05",,,,,,,,,,,,,,,,,,,"87","64","72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-06",,,,,,,,,,,,,,,,,,,"87","66","76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-07",,,,,,,,,,,,,,,,,,,"84","68","77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-08",,,,,,,,,,,,,,,,,,,"88","66","75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-09",,,,,,,,,,,,,,,,,,,"76","65","65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-10",,,,,,,,,,,,,,,,,,,"86","63","75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-11",,,,,,,,,,,,,,,,,,,"83","71","73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-12",,,,,,,,,,,,,,,,,,,"78","64","66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-13",,,,,,,,,,,,,,,,,,,"85","65","73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-14",,,,,,,,,,,,,,,,,,,"77","62","67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-15",,,,,,,,,,,,,,,,,,,"70","57","59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-16",,,,,,,,,,,,,,,,,,,"70","57","58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-17",,,,,,,,,,,,,,,,,,,"64","56","57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-18",,,,,,,,,,,,,,,,,,,"66","56","58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-19",,,,,,,,,,,,,,,,,,,"71","57","62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-20",,,,,,,,,,,,,,,,,,,"74","59","71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-21",,,,,,,,,,,,,,,,,,,"84","67","68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-22",,,,,,,,,,,,,,,,,,,"75","62","63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-23",,,,,,,,,,,,,,,,,,,"91","62","81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-24",,,,,,,,,,,,,,,,,,,"96","77","77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-25",,,,,,,,,,,,,,,,,,,"83","70","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-26",,,,,,,,,,,,,,,,,,,"80","67","76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-27",,,,,,,,,,,,,,,,,,,"91","73","83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-28",,,,,,,,,,,,,,,,,,,"93","75","78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-29",,,,,,,,,,,,,,,,,,,"81","73","75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-06-30",,,,,,,,,,,,,,,,,,,"90","72","78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-01",,,,,,,,,,,,,,,,,,,"78","63","63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-02",,,,,,,,,,,,,,,,,,,"70","63","67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-03",,,,,,,,,,,,,,,,,,,"84","65","78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-04",,,,,,,,,,,,,,,,,,,"87","70","71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-05",,,,,,,,,,,,,,,,,,,"81","67","67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-06",,,,,,,,,,,,,,,,,,,"76","66","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-07",,,,,,,,,,,,,,,,,,,"76","69","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-08",,,,,,,,,,,,,,,,,,,"77","69","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-09",,,,,,,,,,,,,,,,,,,"84","68","72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-10",,,,,,,,,,,,,,,,,,,"84","71","74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-11",,,,,,,,,,,,,,,,,,,"82","72","77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-12",,,,,,,,,,,,,,,,,,,"79","72","74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-13",,,,,,,,,,,,,,,,,,,"80","72","75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-14",,,,,,,,,,,,,,,,,,,"79","74","74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-15",,,,,,,,,,,,,,,,,,,"80","74","75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-16",,,,,,,,,,,,,,,,,,,"81","74","75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-17",,,,,,,,,,,,,,,,,,,"94","75","81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-18",,,,,,,,,,,,,,,,,,,"91","78","79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-19",,,,,,,,,,,,,,,,,,,"86","74","78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-20",,,,,,,,,,,,,,,,,,,"91","74","78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-21",,,,,,,,,,,,,,,,,,,"86","73","73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-22",,,,,,,,,,,,,,,,,,,"80","72","75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-23",,,,,,,,,,,,,,,,,,,"85","73","79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-24",,,,,,,,,,,,,,,,,,,"102","79","89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-25",,,,,,,,,,,,,,,,,,,"89","75","85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-26",,,,,,,,,,,,,,,,,,,"87","68","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-27",,,,,,,,,,,,,,,,,,,"73","66","68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-28",,,,,,,,,,,,,,,,,,,"79","64","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-29",,,,,,,,,,,,,,,,,,,"83","66","71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-30",,,,,,,,,,,,,,,,,,,"80","70","75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-07-31",,,,,,,,,,,,,,,,,,,"89","73","79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-01",,,,,,,,,,,,,,,,,,,"88","75","80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-02",,,,,,,,,,,,,,,,,,,"91","76","81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-03",,,,,,,,,,,,,,,,,,,"92","78","83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-04",,,,,,,,,,,,,,,,,,,"89","78","78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-05",,,,,,,,,,,,,,,,,,,"80","73","73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-06",,,,,,,,,,,,,,,,,,,"80","72","74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-07",,,,,,,,,,,,,,,,,,,"85","71","76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-08",,,,,,,,,,,,,,,,,,,"87","75","80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-09",,,,,,,,,,,,,,,,,,,"94","74","82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-10",,,,,,,,,,,,,,,,,,,"84","74","75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-11",,,,,,,,,,,,,,,,,,,"77","70","77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-12",,,,,,,,,,,,,,,,,,,"86","74","76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-13",,,,,,,,,,,,,,,,,,,"76","67","72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-14",,,,,,,,,,,,,,,,,,,"76","69","71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-15",,,,,,,,,,,,,,,,,,,"79","68","72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-16",,,,,,,,,,,,,,,,,,,"84","71","71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-17",,,,,,,,,,,,,,,,,,,"82","70","74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-18",,,,,,,,,,,,,,,,,,,"84","70","80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-19",,,,,,,,,,,,,,,,,,,"84","72","74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-20",,,,,,,,,,,,,,,,,,,"87","71","76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111550","2005-08-21",,,,,,,,,,,,,,,,,,,"79","70","72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
